epoch,step,train_loss,val_loss
0,2499,,0.017296724021434784
0,2499,0.017533045262098312,
1,4999,,0.017264051362872124
1,4999,0.01711767353117466,
2,7499,,0.01736542582511902
2,7499,0.016945434734225273,
3,9999,,0.016769882291555405
3,9999,0.016836674883961678,
4,12499,,0.015693677589297295
4,12499,0.016287317499518394,
5,14999,,0.014136495999991894
5,14999,0.014819027855992317,
6,17499,,0.012112507596611977
6,17499,0.013462558388710022,
7,19999,,0.01860770769417286
7,19999,0.012314151972532272,
8,22499,,0.009961011819541454
8,22499,0.01132464874535799,
9,24999,,0.009065770544111729
9,24999,0.010380538180470467,
10,27499,,0.009203901514410973
10,27499,0.009792309254407883,
11,29999,,0.007888113148510456
11,29999,0.009338686242699623,
12,32499,,0.007084152195602655
12,32499,0.008770624175667763,
13,34999,,0.00683640455827117
13,34999,0.008294849656522274,
14,37499,,0.006422795820981264
14,37499,0.007780869957059622,
15,39999,,0.007075421046465635
15,39999,0.0074062589555978775,
16,42499,,0.005658498965203762
16,42499,0.007168918382376432,
17,44999,,0.005492781288921833
17,44999,0.007050675339996815,
18,47499,,0.005652158986777067
18,47499,0.006839048117399216,
19,49999,,0.0055490038357675076
19,49999,0.00674055190756917,
20,52499,,0.005207885522395372
20,52499,0.006599619518965483,
21,54999,,0.004941589664667845
21,54999,0.0064526633359491825,
22,57499,,0.005260278936475515
22,57499,0.006326553411781788,
23,59999,,0.004902819637209177
23,59999,0.006252143066376448,
24,62499,,0.004793744534254074
24,62499,0.0061129359528422356,
25,64999,,0.006307035684585571
25,64999,0.006062651053071022,
26,67499,,0.005513469222933054
26,67499,0.0059951595030725,
27,69999,,0.004752013366669416
27,69999,0.0058843763545155525,
28,72499,,0.004695758689194918
28,72499,0.005761429201811552,
29,74999,,0.004782338161021471
29,74999,0.0056520383805036545,
30,77499,,0.004903233144432306
30,77499,0.005571336019784212,
31,79999,,0.004175941925495863
31,79999,0.005444444715976715,
32,82499,,0.004468195606023073
32,82499,0.00545048713684082,
33,84999,,0.0042421817779541016
33,84999,0.005297570955008268,
34,87499,,0.004218060988932848
34,87499,0.0052039301954209805,
35,89999,,0.004399117548018694
35,89999,0.0052007692866027355,
36,92499,,0.004601654596626759
36,92499,0.005105484742671251,
